1	3865
2	BLANC
6	353
8	3824
9	352
10	351
11	350
13	349
13	817
19	321
20	816
22	815
22	902
23	151
23	963
24	3326-776
25	3716
26	894
27	893
28	956
29	891
31	3708
33	892
33	3706
35	891
35	3705
36	3326-776
38	956
39	3832
40	956
41	893
42	309
42	3831
43	815
44	815
45	814
46	666
47	321
48	963
49	3689
50	957
52	899
54	956
55	603
55	604
57	601
57	602
59	150
59	326
59	600
59	3350
59	3831
60	3688
62	603
62	3805
62	3806
63	602
63	3804
65	777
65	3350
66	3688
68	3687
69	3803
70	3685
72	902
73	818
73	963
74	605
74	3354
75	962
75	3733
76	961
76	3731
76	3833
77	3687
78	917
85	3609
86	3608
87	3607
88	718
89	917
90	3836
92	553
94	917
95	153
96	554
97	554
98	553
98	3835
99	552
100	327
100	3834
100	3837
101	550
102	550
103	153
108	210
109	209
110	333
111	208
112	3837
117	341
117	3840
118	156
118	340
119	333
120	157
120	159
120	3747
121	794
121	809
122	3807
123	158
123	791
127	823
128	775
129	3325
130	809
131	798
132	797
133	796
134	820
136	799
137	798
137	3838
139	797
140	3755
142	798
143	797
144	800
145	799
146	798
147	797
148	311
149	803
150	336
152	823
152	939
158	747
159	162
160	827
161	813
161	826
162	517
162	825
164	824
164	3842
167	3766
168	807
169	3760-806
169	3760-806
170	3765
175	160
175	794
176	161
176	793
176	3839
177	792
178	158
178	791
185	959
185	993
186	959
187	958
187	3851
188	943
188	3812
189	3850
203	954
204	913
205	911
206	564
206	955
206	966
208	563
209	912
210	505
210	562
211	700
212	561
213	3813-504
214	368
215	320
216	562
217	367
218	319
218	890
225	702
226	702
227	701
228	700
229	910
230	909
231	453
232	452
233	451
234	762
235	414
236	413
236	3799
238	703
239	702
240	164
241	989
242	989
243	988
244	987
245	987
246	986
253	472
254	472
255	907
256	704
256	906
257	905
258	904
259	772
260	3364
261	3053
262	3052
262	3363
263	3362
264	772
264	3348
265	471
266	471
266	3347
267	469
267	470
267	3346
268	937
268	3345
268	3346
269	936
271	819
273	645
273	3787
274	928
274	3752
275	746
276	543
276	739
277	830
277	831
278	165
278	3819
279	734
280	166
280	581
280	733
281	580
281	731-732
288	445
289	307
290	444
291	444
292	3078
293	727
295	726
295	3822
297	973
298	972
300	745
301	743
301	744
302	743
303	742
304	741
305	725
305	728
305	3821
306	783
306	3820
306	3852
307	782
308	782-781
309	780
310	434
311	3827
311	3855
313	3854
314	741
316	970
316	740-971
316	740-971
323	722
323	3825
324	721
326	720
328	3341
329	3340
330	947
332	608
332	946
333	900
334	606
335	606
336	3771
337	3778
338	3778
339	920
340	919
341	918
342	211
343	3752
347	3064
349	3826
351	400
352	300
355	975
357	433
358	433
358	3862
359	801
360	898
361	738
362	437
363	977
365	435
366	738
366	945
367	738
368	437
369	435
370	780
371	975
372	422
373	3828
374	420
375	869
376	842
376	3864
378	3861
379	3860
379	3863
380	779
381	838
381	938
382	3371
386	3823
387	739
387	Blanc
388	842
390	822
391	3033
392	642
393	3790
397	3024
398	168
398	415
399	318
400	317
401	535
403	310
410	995
410	3844
433	996
681	3051
683	500
778	3774
779	3768
830	644
831	613
832	612
842	3013
842	3348
843	3012
844	3012
845	730
846	3011
847	3072
848	927
849	169
850	926
851	924
852	3047
853	372
854	371
855	370
856	370
858	524
859	523
860	522
861	935
862	520
862	934
868	758
869	3743
870	3042
871	3041
872	3740
873	154
873	3740
874	834
875	3817
875	3813-504
876	503
876	3816
877	163
877	502
877	3815
878	501
879	500
880	951
881	945
882	758
883	3064
884	355
884	920
885	739
886	677
887	3046
888	3045
889	610
890	729
891	676
891	3825
892	225
893	224
894	224
895	223
896	3721
897	221
897	902
898	167
898	611
899	3782
900	648
901	680
901	3829
903	640
903	3032
904	3781
905	3021
905	3031
906	829
907	832
907	833
914	3859
914	407-3773
920	932
921	931
922	930
923	699
923	909
923	3818
924	731-732
925	721
926	712
926	3866
928	3761
933	543
936	632
939	3755
940	824
941	792
942	738
943	422
944	869
945	834
956	613
968	778
969	152
970	3687
972	3803
975	828
976	3752
977	334
978	322
979	312
1001	976
1002	977
1003	921
1003	922
1003	3853
1004	920
1005	498
1005	816
1006	304
1007	3772
1007	3858
1008	407-3773
1009	3770
1010	951
1010	3856
1011	948
1012	754
1012	967
1012	3779
1013	3778
1014	335
1014	355
1015	3777
1016	3727
1017	316
1018	3726
1019	315
1019	3802
1020	3713
1021	761
1022	760
1023	3712
1024	3328
1025	347
1026	225
1027	3722
1028	3685
1029	915
1030	155
1030	3746
1031	3753
1032	3752
1033	932
1034	931
1035	930
1036	3750
1037	3756
1038	519
1039	518
1040	647
1040	3023
1041	844
1042	3813-504
1043	369
1044	895
1045	436
1046	435
1047	402
1048	3776
1049	301
1049	3826
1050	3781
1060	3811
1062	598
1064	597
1066	3809
1066	3810
1068	3808
1070	992
1072	992
1072	992
1074	3814
1074	3848
1076	991
1076	3847
1080	842
1082	841
1084	840
1086	839
1088	938
1089	3843
1089	3845
1090	3846
1092	964
1094	605
1096	3753
1098	3801
4146	950
5975	356
5975	3830
8581	646
8581	3022
9046	321
9159	828
9159	3841
9575	758
